marca,modelo,titulo,valor,cidade,bairro,ano,km,link
Toyota,Etios X Plus,Toyota Etios X Plus 1.5 Flex 16V 5P Aut. 2019,59900,Salvador,Pituba,2019.0,185000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/toyota-etios-x-plus-1-5-flex-16v-5p-aut-2019-1482710594
Citroen,C3 Tendance,Citroen C3 Tendance 1.5 Flex 8V 5P Mec. 2015,39990,Lauro de Freitas,Centro,2015.0,134000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/citroen-c3-tendance-1-5-flex-8v-5p-mec-2015-1475241406
Toyota,Yaris XS,Toyota Yaris XS 1.5 Flex 16V 5P Aut. 2020,76800,Salvador,Mussurunga I,2020.0,41700.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/toyota-yaris-xs-1-5-flex-16v-5p-aut-2020-1470380638
Toyota,Corolla Altis Prem. Hybrid,Toyota Corolla Altis Prem. Hybrid 1.8 Flex AUT 2023,147990,Lauro de Freitas,Centro,2023.0,63000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-altis-prem-hybrid-1-8-flex-aut-2023-1474913698
Volkswagen,Nivus Comfortline,Volkswagen Nivus Comfortline 1.0 200 TSI Flex AUT 2024,102000,Salvador,Itaigara,2024.0,30000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-nivus-comfortline-1-0-200-tsi-flex-aut-2024-1482382043
Fiat,Strada Freedom,Fiat Strada Freedom 1.3 Flex 8V CS Plus 2024,111190,Salvador,São Cristóvão,2024.0,39435.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-freedom-1-3-flex-8v-cs-plus-2024-1482710293
Toyota,Corolla Cross XRE,Toyota Corolla Cross XRE 2.0 16V Flex AUT 2025,164000,Salvador,Itaigara,2025.0,55000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-cross-xre-2-0-16v-flex-aut-2025-1482364439
Chery,Tiggo 8 MAX Drive,Chery Tiggo 8 MAX Drive 1.6 Turbo Aut. 2023,132997,Salvador,São Marcos,2023.0,42356.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chery-tiggo-8-max-drive-1-6-turbo-aut-2023-1482702427
Renault,Kwid Zen,Renault Kwid Zen 1.0 Flex 12V 5P Mec. 2022,41000,Salvador,Itaigara,2022.0,30000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/renault-kwid-zen-1-0-flex-12v-5p-mec-2022-1482393393
Ford,Fiesta,Ford Fiesta 1.0 8V Flex/class 1.0 8V Flex 5P 2008,16000,Salvador,Pau Miúdo,2008.0,185000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-1-0-8v-flex-class-1-0-8v-flex-5p-2008-1482709594
Chery,Tiggo 7 Pro MAX Drive,Chery Tiggo 7 Pro MAX Drive 1.5 TB (hibrido) 2024,144900,Lauro de Freitas,Buraquinho,2024.0,18965.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chery-tiggo-7-pro-max-drive-1-5-tb-hibrido-2024-1482707806
Jeep,Compass Limited,Jeep Compass Limited 2.0 4X2 Flex 16V Aut. 2017,82000,Salvador,Itaigara,2017.0,116.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-limited-2-0-4x2-flex-16v-aut-2017-1482709277
Ford,Ranger XL,Ford Ranger XL 2.0l 4X4 2024,159900,Salvador,Imbuí,2024.0,19000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/ford-ranger-xl-2-0l-4x4-2024-1461047215
Chevrolet,Trailblazer Premier,Chevrolet Trailblazer Premier 2.8 TB Diesel Aut. 2020,170000,Camaçari,Catu de Abrantes (Abrantes),2020.0,104000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-trailblazer-premier-2-8-tb-diesel-aut-2020-1459435049
Toyota,Corolla Cross Gr-s,Toyota Corolla Cross Gr-s 2.0 16V Flex Aut. 2023,144900,Salvador,Canela,2023.0,57000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-cross-gr-s-2-0-16v-flex-aut-2023-1482708199
Volkswagen,Logus,Volkswagen Logus 1.8 / CLI / CL (álcool) 1995,6500,Salvador,Itapuã,1995.0,100000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-logus-1-8-cli-cl-alcool-1995-1482707123
Fiat,Mobi Drive GSR,Fiat Mobi Drive GSR 1.0 Flex 6V 5P 2019,46900,Lauro de Freitas,Vilas do Atlântico,2019.0,22000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fiat-mobi-drive-gsr-1-0-flex-6v-5p-2019-1482706910
Fiat,Mobi Like,Fiat Mobi Like 1.0 Fire Flex 5P. 2017,38900,Salvador,Pirajá,2017.0,107000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fiat-mobi-like-1-0-fire-flex-5p-2017-1482705301
Honda,Civic Sedan LX,Honda Civic Sedan LX 2.0 Flex 16V Aut. 4P 2020,118900,Salvador,Água de Meninos,2020.0,52521.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-sedan-lx-2-0-flex-16v-aut-4p-2020-1482703823
Renault,Duster Dynamique,Renault Duster Dynamique 1.6 Flex 16V Aut. 2020,76900,Salvador,Água de Meninos,2020.0,75420.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/renault-duster-dynamique-1-6-flex-16v-aut-2020-1482703793
Chevrolet,Onix Hatch LT,Chevrolet Onix Hatch LT 1.0 8V Flex Mec. 4P 2013,45900,Salvador,Água de Meninos,2013.0,67755.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-hatch-lt-1-0-8v-flex-mec-4p-2013-1482702766
Chevrolet,Spin Activ7,Chevrolet Spin Activ7 1.8 8V Econo.flex 5P Aut. 2023,91900,Salvador,Pituba,2023.0,65000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-spin-activ7-1-8-8v-econo-flex-5p-aut-2023-1482702464
Volkswagen,Parati 1000 MI,Volkswagen Parati 1000 MI 16V 4P Turbo 2001,8000,Simões Filho,Luís Eduardo Magalhães,2001.0,400.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-parati-1000-mi-16v-4p-turbo-2001-1482702360
Chevrolet,Classic Life/ls,Chevrolet Classic Life/ls 1.0 VHC Flexp. 4P 2022,20000,Salvador,São Marcos,2022.0,198000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-classic-life-ls-1-0-vhc-flexp-4p-2022-1482702371
Chery,QQ,Chery QQ 1.0 ACT FL 12v/1.0 12V Flex 5P 2019,30200,Salvador,Barbalho,2019.0,49856.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chery-qq-1-0-act-fl-12v-1-0-12v-flex-5p-2019-1482702318
Aluguel,Chevrolet Prisma,Aluguel Chevrolet Prisma 1.0 2014 com GNV,45000,Salvador,Vila Laura,2014.0,150000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/aluguel-chevrolet-prisma-1-0-2014-com-gnv-1470323784
Toyota,Corolla XEI,Toyota Corolla XEI 2.0 Flex 16V Aut. 2022,123990,Salvador,Graça,2022.0,101023.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-xei-2-0-flex-16v-aut-2022-1448791872
